school,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Grade
GP,M,U,GT3,T,high,high,services,teacher,home,mother,low,low,none,no,no,no,no,yes,yes,yes,no,5,2,3,1,2,5,four_to_six,B
MS,M,R,GT3,T,mid,mid,other,other,course,mother,medium,low,none,no,yes,no,no,no,yes,yes,no,2,5,5,5,5,5,more_than_ten,D
GP,F,R,LE3,T,mid,mid,services,services,course,mother,low,high,none,no,yes,no,yes,yes,yes,yes,no,3,3,2,2,2,3,none,D
GP,M,U,GT3,T,high,mid,teacher,other,home,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,none,D
MS,F,R,GT3,T,mid,mid,other,other,other,mother,medium,low,low,no,no,no,no,yes,no,yes,yes,5,5,5,1,1,3,none,F
MS,M,U,LE3,T,high,high,teacher,health,other,father,low,low,none,no,yes,no,no,yes,yes,yes,no,4,1,2,2,5,5,none,C
GP,F,R,GT3,T,low,low,at_home,other,home,mother,medium,very_high,none,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,four_to_six,C
GP,M,U,LE3,T,mid,mid,services,health,home,father,low,medium,none,no,yes,no,no,yes,yes,yes,no,3,2,4,2,4,4,more_than_ten,D
GP,F,R,GT3,T,mid,mid,at_home,other,course,mother,medium,very_high,none,no,no,no,yes,yes,yes,no,no,4,4,4,1,1,4,four_to_six,B
GP,M,U,GT3,T,mid,mid,services,at_home,home,mother,low,low,none,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,four_to_six,D
MS,M,R,GT3,T,low,low,other,other,home,other,high,low,low,no,yes,no,no,yes,yes,yes,no,4,4,4,3,3,5,four_to_six,D
MS,F,U,GT3,A,mid,high,other,services,reputation,father,low,medium,low,no,yes,no,no,yes,yes,yes,no,2,3,2,1,3,1,more_than_ten,F
GP,M,R,LE3,T,low,low,at_home,other,course,other,medium,medium,medium,no,yes,no,yes,yes,no,yes,yes,5,3,3,5,2,4,more_than_ten,D
MS,F,R,GT3,T,low,low,at_home,other,course,other,medium,medium,low,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,1,3,four_to_six,F
MS,F,U,GT3,A,mid,mid,services,at_home,course,mother,medium,medium,medium,no,yes,no,yes,yes,yes,no,yes,2,5,5,1,1,1,more_than_ten,F
MS,F,U,GT3,A,low,mid,at_home,other,course,mother,medium,medium,medium,no,yes,no,no,yes,yes,no,no,4,3,3,1,1,5,one_to_three,F
GP,M,U,GT3,T,mid,mid,services,other,home,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,no,4,4,4,2,4,5,more_than_ten,D
MS,M,R,GT3,T,high,high,health,other,course,father,high,low,high,no,no,no,yes,yes,yes,yes,yes,3,3,3,1,3,5,one_to_three,F
GP,M,U,GT3,T,mid,mid,other,other,course,father,low,medium,none,no,no,no,no,yes,no,yes,no,4,3,5,2,4,4,none,D
GP,M,U,LE3,A,high,low,services,other,home,mother,medium,low,none,no,no,no,yes,yes,yes,yes,yes,4,5,4,2,4,5,more_than_ten,D
GP,F,R,GT3,T,mid,mid,at_home,other,reputation,mother,low,low,none,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,more_than_ten,C
GP,M,U,LE3,T,mid,low,at_home,other,course,mother,low,low,low,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,four_to_six,D
GP,M,U,LE3,T,high,high,health,services,course,father,low,low,none,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,none,C
GP,F,U,GT3,T,high,mid,health,services,reputation,mother,low,high,none,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,3,none,A+
GP,M,R,GT3,T,mid,mid,at_home,other,course,mother,high,low,none,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,four_to_six,D
GP,F,U,LE3,A,mid,high,services,other,course,mother,medium,medium,low,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,3,more_than_ten,D
MS,F,R,GT3,A,mid,mid,health,other,course,mother,low,medium,none,no,no,no,no,no,yes,no,yes,3,3,2,1,1,3,one_to_three,D
GP,F,U,LE3,T,high,mid,teacher,other,course,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,1,3,none,A
GP,M,U,GT3,T,mid,mid,other,other,home,father,medium,low,none,no,no,no,no,yes,yes,yes,no,5,3,3,1,1,3,none,C
MS,F,U,LE3,A,low,low,at_home,services,course,mother,low,medium,none,no,no,no,no,yes,yes,no,yes,5,2,3,1,2,3,one_to_three,D
GP,M,U,GT3,T,high,high,teacher,services,home,mother,medium,low,none,no,no,no,yes,yes,yes,yes,no,3,2,4,1,4,3,four_to_six,C
MS,F,R,GT3,T,mid,mid,at_home,other,other,mother,medium,high,none,no,no,no,no,yes,yes,no,no,5,3,3,1,3,4,none,B
GP,M,U,LE3,T,high,high,teacher,other,reputation,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,3,5,none,D
MS,F,R,GT3,T,high,high,other,teacher,other,father,high,medium,none,no,yes,no,no,no,yes,yes,yes,3,2,2,4,2,5,none,F
GP,M,U,GT3,T,mid,mid,other,services,reputation,father,low,medium,none,no,no,no,no,yes,no,yes,no,5,5,4,3,5,2,more_than_ten,F
MS,F,R,GT3,T,low,low,at_home,services,other,mother,low,low,low,no,yes,no,no,yes,yes,no,yes,4,1,3,1,1,2,four_to_six,D
MS,M,U,GT3,T,low,low,at_home,services,other,mother,high,medium,none,no,no,no,no,yes,yes,yes,yes,5,1,3,3,3,1,none,D
GP,F,U,LE3,T,mid,mid,other,other,reputation,mother,medium,medium,none,no,no,no,no,yes,yes,yes,no,4,4,4,1,3,1,one_to_three,B
GP,F,U,GT3,T,mid,mid,health,services,home,father,low,medium,low,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,3,one_to_three,D
GP,F,U,GT3,T,mid,mid,other,services,home,mother,low,medium,none,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,four_to_six,D
GP,M,U,GT3,T,mid,high,services,services,home,father,low,low,none,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,one_to_three,F
GP,M,U,LE3,A,mid,mid,other,other,reputation,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,5,more_than_ten,A+
GP,F,U,GT3,T,mid,mid,services,teacher,other,mother,low,medium,none,yes,no,no,no,yes,yes,yes,no,2,3,1,1,1,3,none,B
GP,F,U,GT3,T,mid,mid,other,other,course,father,low,medium,none,no,no,no,yes,yes,yes,no,no,5,4,2,1,1,3,four_to_six,B
GP,M,U,GT3,T,mid,mid,other,services,course,father,low,medium,low,no,yes,no,no,yes,yes,yes,yes,4,5,5,4,4,5,none,F
MS,F,R,GT3,T,high,low,other,other,other,mother,low,low,none,no,no,no,no,yes,yes,yes,yes,4,2,3,1,2,5,one_to_three,B
MS,F,U,GT3,T,mid,mid,other,services,course,mother,medium,high,none,no,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,none,B
GP,M,R,GT3,T,high,mid,teacher,at_home,course,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,none,B
GP,F,U,LE3,A,low,low,other,other,course,other,high,medium,medium,no,yes,no,no,no,yes,yes,yes,5,3,4,1,1,4,one_to_three,F
MS,F,R,LE3,T,low,mid,other,other,reputation,mother,medium,low,none,no,no,no,yes,yes,yes,yes,no,5,4,5,1,4,2,none,B
MS,M,U,LE3,T,high,high,other,services,home,mother,low,high,none,no,yes,no,no,yes,yes,yes,no,4,4,3,1,2,5,none,A
MS,F,U,GT3,T,mid,mid,at_home,services,course,father,medium,low,none,no,yes,no,no,yes,yes,yes,yes,5,2,3,1,2,4,none,D
GP,M,U,LE3,T,mid,low,services,services,course,mother,medium,low,none,no,no,no,yes,yes,yes,yes,yes,3,3,4,4,5,4,one_to_three,C
GP,F,U,LE3,T,high,mid,teacher,services,course,mother,high,medium,none,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,one_to_three,A
MS,F,R,GT3,T,mid,mid,other,services,course,father,high,medium,none,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,1,2,one_to_three,B
MS,F,U,GT3,T,low,low,other,other,course,mother,medium,medium,none,no,no,no,yes,yes,yes,no,no,1,1,1,1,1,5,four_to_six,F
GP,F,R,GT3,T,mid,low,at_home,services,course,mother,high,medium,none,no,no,no,yes,yes,yes,no,no,2,1,1,1,1,3,one_to_three,C
GP,M,R,GT3,T,mid,mid,services,other,course,mother,very_high,low,none,no,yes,no,no,yes,yes,yes,no,4,4,5,5,5,4,one_to_three,D
GP,F,U,GT3,A,high,low,other,other,home,mother,low,medium,none,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,2,5,none,C
GP,M,R,GT3,T,low,mid,at_home,at_home,home,mother,low,medium,none,no,yes,no,yes,no,yes,no,yes,3,5,2,2,2,1,one_to_three,A+
GP,M,U,GT3,T,mid,low,services,services,reputation,mother,low,high,none,no,no,no,yes,yes,yes,yes,no,4,2,4,1,3,2,none,B
MS,F,R,GT3,T,mid,mid,at_home,services,other,mother,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,1,2,none,D
GP,M,U,LE3,T,high,mid,teacher,services,home,mother,low,high,none,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,none,B
GP,M,U,GT3,T,mid,mid,health,other,home,mother,low,low,none,no,yes,no,no,yes,yes,yes,no,4,4,3,1,3,5,none,B
GP,M,U,LE3,T,mid,low,services,other,course,mother,high,medium,low,no,no,no,yes,no,no,yes,no,4,4,5,4,4,5,four_to_six,D
GP,F,R,GT3,T,mid,mid,other,other,home,mother,low,medium,none,yes,no,no,no,yes,yes,no,no,3,2,3,1,1,5,four_to_six,C
MS,F,R,GT3,T,low,low,at_home,at_home,course,father,medium,low,none,no,yes,no,yes,yes,no,yes,yes,3,5,5,2,2,4,one_to_three,D
GP,F,U,GT3,T,low,low,other,other,home,mother,medium,medium,none,yes,no,no,yes,yes,yes,yes,no,5,4,4,1,1,4,none,C
MS,M,U,LE3,T,low,low,other,services,home,father,medium,low,none,no,no,no,no,no,yes,yes,yes,3,3,2,1,2,3,one_to_three,B
GP,M,R,GT3,T,mid,mid,other,other,course,mother,medium,medium,medium,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,four_to_six,F
GP,M,U,GT3,T,high,none,teacher,other,course,mother,medium,very_high,none,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,none,D
GP,F,U,GT3,T,mid,mid,other,other,course,mother,medium,low,low,no,no,no,no,yes,no,yes,no,4,1,1,1,1,3,more_than_ten,F
GP,F,U,GT3,T,mid,mid,other,other,home,father,low,medium,none,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,none,C
GP,F,R,GT3,T,mid,high,services,teacher,course,father,medium,high,none,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,none,C
GP,F,R,LE3,T,mid,low,other,other,reputation,father,medium,very_high,none,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,four_to_six,B
GP,F,R,LE3,T,mid,mid,health,services,reputation,mother,medium,medium,none,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,none,D
GP,M,U,GT3,T,high,mid,teacher,services,course,father,medium,very_high,none,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,3,four_to_six,D
MS,M,U,GT3,T,mid,mid,services,services,home,mother,low,low,none,no,yes,no,yes,yes,yes,yes,no,4,1,4,5,5,3,more_than_ten,F
GP,M,R,LE3,T,mid,mid,other,services,course,mother,low,medium,none,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,5,more_than_ten,D
GP,M,U,GT3,T,mid,mid,services,services,course,mother,medium,low,high,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,more_than_ten,F
GP,M,U,GT3,T,high,mid,teacher,other,home,mother,low,medium,none,no,yes,yes,yes,yes,yes,yes,no,3,4,3,2,3,3,four_to_six,D
GP,M,U,GT3,T,high,high,services,other,course,mother,low,low,none,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,one_to_three,C
MS,F,R,LE3,A,high,mid,teacher,other,reputation,mother,low,medium,none,no,no,no,yes,yes,yes,yes,yes,5,3,1,1,1,5,none,F
GP,M,U,GT3,T,mid,low,at_home,other,course,mother,very_high,low,none,no,no,no,no,yes,yes,no,no,3,2,1,1,1,2,four_to_six,D
MS,F,R,GT3,T,mid,mid,other,other,course,mother,high,medium,none,no,yes,no,no,yes,yes,yes,no,4,4,5,1,1,4,four_to_six,D
GP,M,R,GT3,T,mid,mid,other,services,reputation,father,low,medium,none,no,no,no,yes,yes,yes,no,yes,4,5,3,1,2,5,none,D
GP,M,U,GT3,T,high,high,health,services,home,mother,low,medium,none,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,none,D
MS,M,R,LE3,T,low,mid,at_home,services,other,father,high,low,none,no,yes,no,yes,yes,no,yes,yes,4,3,3,2,3,3,one_to_three,D
GP,F,U,GT3,T,mid,mid,other,other,home,mother,low,medium,none,no,yes,no,no,yes,yes,yes,yes,4,3,2,2,3,2,none,B
GP,F,U,GT3,T,high,high,other,other,reputation,mother,low,low,none,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,four_to_six,C
MS,M,U,LE3,A,mid,mid,other,services,course,father,medium,medium,none,no,yes,no,no,no,yes,yes,yes,4,1,2,2,2,5,none,C
GP,F,U,GT3,T,none,low,at_home,other,course,other,low,medium,medium,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,none,D
GP,F,U,GT3,T,high,mid,other,other,course,mother,low,high,none,no,yes,no,yes,yes,yes,yes,yes,4,3,4,1,1,5,one_to_three,A
GP,F,U,LE3,T,low,low,other,other,home,mother,medium,medium,none,no,yes,no,no,no,yes,no,no,4,4,3,1,1,3,one_to_three,C
GP,F,U,GT3,T,high,mid,other,other,reputation,mother,medium,high,none,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,3,none,A
GP,F,R,GT3,T,high,high,health,teacher,other,mother,low,medium,none,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,none,A
GP,F,U,GT3,T,high,high,services,services,reputation,father,medium,medium,none,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,four_to_six,C
GP,M,U,GT3,T,mid,mid,at_home,other,reputation,other,high,medium,low,yes,yes,no,no,no,yes,yes,no,5,3,3,1,3,2,four_to_six,D
GP,F,R,GT3,A,mid,mid,other,other,home,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,2,none,A
MS,F,R,GT3,A,high,mid,services,services,course,mother,low,low,none,no,yes,no,no,yes,yes,yes,no,5,4,4,3,4,2,more_than_ten,D
GP,M,R,LE3,A,mid,high,other,other,reputation,mother,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,4,2,5,3,4,1,four_to_six,A
MS,F,R,GT3,T,mid,low,other,other,course,mother,medium,medium,high,no,yes,no,yes,no,yes,yes,yes,5,4,4,1,1,5,one_to_three,D
MS,F,R,LE3,T,mid,mid,other,other,other,father,low,high,none,yes,yes,no,no,yes,yes,no,no,4,4,3,2,2,5,one_to_three,C
GP,F,U,LE3,T,mid,mid,services,services,course,mother,high,medium,none,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,none,C
MS,F,U,GT3,T,low,low,other,at_home,course,mother,low,low,none,no,yes,no,yes,yes,yes,no,no,4,3,2,1,2,5,more_than_ten,D
GP,F,U,LE3,T,mid,low,other,other,home,father,low,medium,none,no,no,no,yes,yes,yes,yes,no,4,2,3,2,2,2,one_to_three,B
GP,F,U,GT3,T,low,mid,at_home,other,course,mother,low,medium,none,no,yes,no,no,no,yes,yes,no,4,3,2,1,1,5,four_to_six,C
GP,M,U,GT3,T,high,high,services,services,reputation,mother,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,one_to_three,B
MS,M,U,LE3,T,mid,low,at_home,services,course,mother,medium,low,none,no,yes,no,yes,yes,yes,yes,no,2,4,3,2,3,4,four_to_six,D
GP,F,U,GT3,T,low,mid,other,other,course,mother,low,low,none,no,no,no,no,yes,no,yes,no,5,3,5,1,2,5,four_to_six,D
MS,F,R,GT3,T,mid,mid,at_home,other,course,mother,medium,medium,none,no,yes,no,no,yes,yes,yes,no,4,3,5,1,2,4,none,D
MS,F,R,LE3,T,mid,low,at_home,other,home,mother,medium,low,none,no,no,no,no,yes,no,no,no,1,3,4,1,1,1,none,F
GP,F,R,GT3,T,mid,mid,other,other,reputation,mother,low,low,none,no,yes,no,no,yes,yes,yes,no,5,3,2,1,2,3,more_than_ten,C
GP,F,U,GT3,T,mid,mid,other,other,course,mother,low,medium,none,no,yes,no,no,yes,yes,no,yes,4,2,2,1,1,3,four_to_six,C
GP,M,U,GT3,T,mid,high,other,other,reputation,father,low,low,none,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,one_to_three,B
GP,F,U,GT3,T,mid,mid,other,services,other,mother,low,high,none,no,no,no,no,yes,yes,yes,yes,5,4,3,2,3,1,four_to_six,A
GP,F,U,GT3,A,mid,mid,health,other,reputation,mother,low,medium,none,no,yes,no,no,no,yes,yes,yes,3,3,3,1,3,3,more_than_ten,B
MS,F,U,GT3,T,mid,mid,other,other,home,mother,low,medium,none,no,no,no,no,yes,yes,yes,yes,4,1,3,1,2,1,one_to_three,A
GP,M,U,GT3,T,high,mid,teacher,other,course,mother,low,high,none,no,yes,no,no,yes,yes,yes,yes,5,4,5,2,3,5,none,B
GP,M,U,GT3,T,mid,mid,services,other,home,mother,low,medium,none,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,3,none,C
GP,M,U,GT3,T,mid,low,services,services,other,mother,low,low,medium,no,no,no,no,no,no,yes,no,3,2,5,2,5,5,four_to_six,F
GP,M,R,GT3,T,mid,mid,other,other,course,father,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,4,5,2,1,1,1,none,C
MS,F,U,GT3,T,mid,mid,other,other,course,mother,medium,medium,none,no,yes,no,no,no,yes,yes,yes,1,3,1,1,1,2,four_to_six,D
GP,F,U,GT3,A,mid,high,services,other,course,father,low,low,none,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,more_than_ten,B
MS,M,U,GT3,T,mid,low,at_home,other,course,other,medium,low,high,no,no,no,yes,no,no,yes,yes,4,4,3,1,3,5,four_to_six,F
GP,F,U,GT3,T,low,none,other,other,reputation,mother,medium,low,low,yes,no,no,no,yes,yes,yes,yes,5,3,1,1,1,5,four_to_six,D
GP,F,R,GT3,T,high,mid,teacher,other,reputation,mother,medium,high,none,no,yes,no,yes,yes,yes,yes,yes,4,4,2,1,1,4,none,C
MS,F,U,GT3,T,low,mid,other,services,course,mother,low,high,low,no,yes,no,no,yes,yes,no,no,1,3,2,1,2,4,none,F
GP,M,U,GT3,T,mid,low,other,other,home,mother,low,low,none,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,more_than_ten,F
MS,M,U,GT3,T,mid,mid,other,services,home,father,medium,medium,none,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,3,four_to_six,A
GP,F,U,GT3,T,high,high,teacher,other,home,other,low,low,low,no,yes,no,no,yes,yes,yes,yes,3,2,5,4,4,5,four_to_six,D
MS,M,R,GT3,T,mid,low,other,other,other,mother,medium,low,none,no,no,no,yes,no,yes,yes,yes,4,4,3,1,3,5,none,F
MS,F,U,GT3,T,low,low,other,other,course,other,medium,medium,low,no,yes,no,no,yes,yes,yes,yes,1,1,4,4,1,1,more_than_ten,F
GP,F,U,LE3,T,high,mid,services,services,reputation,father,low,medium,none,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,none,C
MS,F,R,GT3,T,none,mid,other,other,other,mother,medium,low,none,no,yes,no,yes,yes,yes,no,no,3,2,3,1,2,2,none,C
MS,F,R,GT3,T,low,low,at_home,other,other,mother,low,medium,low,no,yes,no,no,yes,yes,yes,yes,4,3,2,1,1,5,more_than_ten,F
MS,F,R,GT3,T,low,low,other,other,other,father,low,low,low,no,yes,no,no,no,no,yes,no,5,4,4,2,2,5,none,F
GP,M,U,LE3,T,mid,mid,other,other,course,mother,low,medium,none,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,none,C
GP,M,R,GT3,A,high,high,other,teacher,reputation,mother,medium,high,none,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,four_to_six,C
GP,F,U,GT3,T,mid,mid,at_home,at_home,course,mother,low,high,none,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,none,C
GP,F,R,GT3,T,mid,mid,services,services,reputation,other,medium,high,none,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,one_to_three,C
GP,F,U,GT3,T,mid,mid,services,services,reputation,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,3,4,none,A
GP,M,U,GT3,T,mid,mid,other,other,home,mother,low,low,none,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,more_than_ten,C
MS,F,U,GT3,T,high,high,teacher,teacher,reputation,mother,medium,medium,none,no,no,no,yes,no,yes,yes,no,4,3,5,1,2,1,none,A+
MS,F,R,GT3,T,low,low,at_home,other,course,father,medium,medium,high,yes,yes,no,no,yes,yes,no,no,3,4,3,1,1,1,none,F
GP,M,U,LE3,A,high,high,teacher,teacher,course,mother,low,low,none,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,four_to_six,B
GP,F,R,GT3,T,low,low,at_home,other,course,mother,very_high,medium,none,no,yes,no,no,yes,yes,no,no,5,1,3,1,1,3,none,C
MS,F,U,GT3,T,mid,mid,services,services,other,mother,medium,medium,none,no,yes,no,no,yes,yes,yes,yes,4,3,2,1,3,3,four_to_six,C
MS,F,U,GT3,T,high,high,health,health,course,mother,low,medium,none,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,2,3,four_to_six,F
GP,M,U,GT3,T,high,mid,teacher,other,reputation,mother,low,medium,none,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,none,B
GP,F,U,GT3,T,mid,mid,other,other,home,mother,low,high,none,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,one_to_three,D
GP,F,U,GT3,A,mid,low,other,other,course,mother,medium,high,none,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,none,A
GP,F,U,GT3,T,mid,low,services,other,reputation,father,high,high,none,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,none,C
GP,M,U,LE3,T,high,high,teacher,other,home,other,low,low,none,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,more_than_ten,D
GP,F,U,LE3,T,low,low,at_home,at_home,course,mother,low,high,none,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,2,4,more_than_ten,D
GP,F,U,GT3,T,high,high,teacher,services,course,mother,low,high,none,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,1,5,one_to_three,C
GP,M,U,LE3,T,low,mid,health,services,course,mother,medium,low,medium,no,no,no,no,no,yes,yes,no,4,4,5,3,5,5,none,D
GP,M,U,GT3,T,high,high,teacher,teacher,course,mother,low,low,none,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,more_than_ten,F
GP,M,U,GT3,A,mid,high,services,other,course,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,none,A
MS,F,U,LE3,T,low,mid,at_home,other,course,father,low,low,none,no,no,no,no,yes,yes,yes,no,5,5,1,1,1,3,none,D
GP,F,U,LE3,T,high,mid,health,other,reputation,father,low,medium,none,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,none,C
